patent_id,ipc8,ipc_num
CN1446934A, A44B   1/02        20060101A I20051008RMEP         ,1
CN1446934A,  A44B  19/26        20060101A I20051008RMEP         ,2
CN1446934A,  A44B  19/42        20060101ALI20051220RMJP         ,3
CN1446934A,  C22C  38/00        20060101ALI20051220RMJP         ,4
CN1446934A,  C22C  38/40        20060101ALI20051220RMJP         ,5
CN1446934A,  C22C  38/48        20060101ALI20051220RMJP,6
CN1464436A, G06F  17/30        20060101A I20051110RMEP,1
CN1539888A, C09D   1/00        20060101A I20051110RMEP         ,1
CN1539888A,  C09D   5/08        20060101A I20051110RMEP,2
CN1511583A, A61P   3/10        20060101A I20051110RMEP         ,1
CN1511583A,  C07B  63/00        20060101A I20051110RMEP         ,2
CN1511583A,  C07D 311/30        20060101A I20051110RMEP         ,3
CN1511583A,  C07H   1/08        20060101A I20051110RMEP         ,4
CN1511583A,  C07H  17/07        20060101A I20051110RMEP,5
CN1584237A, C04B  14/46        20060101A I20051110RMEP         ,1
CN1584237A,  E04B   1/86        20060101A I20051110RMEP,2
CN1614939A, H04L  12/26        20060101A I20051110RMEP,1
CN1647847A, B01D  46/30        20060101A I20051110RMEP,1
CN1676671A, B82B   3/00        20060101A I20051110RMEP         ,1
CN1676671A,  C25D   1/00        20060101A I20051110RMEP         ,2
CN1676671A,  C25D   1/10        20060101A I20051110RMEP,3
CN1677401A, G06F  12/00        20060101AFI20060310RMJP         ,1
CN1677401A,  G06F  17/30        20060101A I20051008RMEP         ,2
CN1677401A,  G11B  27/32        20060101A I20070721RMEP         ,3
CN1677401A,  H04N   5/76        20060101ALI20060310RMJP,4
CN1663772A, B29C  45/58        20060101A I20051110RMEP         ,1
CN1663772A,  B29C  45/60        20060101A I20051110RMEP         ,2
CN1663772A,  B29C  45/62        20060101A I20051110RMEP,3
CN1665342A, H04W  36/18        20090101AFI20110331RHCN,1
CN1681270A, H04L  29/00        20060101A I20051110RMEP,1
CN1731476A, G09B  29/06        20060101AFI20060208BHCN,1
CN1624484A, G01N  35/00        20060101AFI20051220RMJP         ,1
CN1624484A,  G01N  35/02        20060101A I20051008RMEP         ,2
CN1624484A,  G01N  35/04        20060101ALI20051220RMJP         ,3
CN1624484A,  G01N  35/10        20060101A I20051008RMEP,4
CN1733385A, B21D  37/10        20060101AFI20060215BHCN,1
CN1641608A, G06F  12/00        20060101A I20051110RMEP         ,1
CN1641608A,  G06F  13/00        20060101A I20051110RMEP,2
CN1734008A, D06M  13/338       20060101AFI20060215BHCN         ,1
CN1734008A,  D06P   1/38        20060101ALI20060215BHCN         ,2
CN1734008A,  D06P   3/34        20060101ALI20060215BHCN,3
CN1749241A, C07C 269/04        20060101AFI20060322BHCN,1
CN1737391A, F16D   1/033       20060101AFI20060222BHCN         ,1
CN1737391A,  F16D   1/076       20060101A I20051008RMEP         ,2
CN1737391A,  F16D   3/16        20060101A I20060506RMEP,3
CN1720852A, A47L  11/24        20060101AFI20060118BHCN,1
CN1832700A, A47L   9/16        20060101AFI20060913BHCN         ,1
CN1832700A,  B04C   5/12        20060101ALI20060913BHCN         ,2
CN1832700A,  B04C   5/13        20060101A I20051008RMEP,3
CN1848790A, H04L  12/40        20060101AFI20061018BHCN,1
CN1803252A, B01D  53/04        20060101AFI20060719BHCN,1
CN1836784A, B02C  17/00        20060101AFI20060927BHCN         ,1
CN1836784A,  B02C  17/18        20060101ALI20060927BHCN         ,2
CN1836784A,  B02C  25/00        20060101ALI20060927BHCN,3
CN1853961A, B44F   1/02        20060101AFI20061101BHCN         ,1
CN1853961A,  B44F   1/08        20060101ALI20061101BHCN         ,2
CN1853961A,  G02B   5/12        20060101ALI20061101BHCN         ,3
CN1853961A,  G02B  30/60        20200101A I20191016RMBR,4
CN1821561A, F02D  19/08        20060101AFI20060823BHCN         ,1
CN1821561A,  F02B   1/12        20060101ALI20060823BHCN         ,2
CN1821561A,  F02B   7/02        20060101ALI20060823BHCN         ,3
CN1821561A,  F02B  23/02        20060101ALI20060823BHCN         ,4
CN1821561A,  F02D  35/00        20060101ALI20060823BHCN         ,5
CN1821561A,  F02D  43/00        20060101ALI20060823BHCN,6
CN1758889A, A61F  13/53        20060101AFI20060412BHCN         ,1
CN1758889A,  A61F   5/44        20060101ALI20051220RMJP         ,2
CN1758889A,  A61F  13/15        20060101ALI20051220RMJP         ,3
CN1758889A,  A61F  13/49        20060101ALI20051220RMJP         ,4
CN1758889A,  A61F  13/534       20060101ALI20051220RMJP,5
CN1900047A, C07C  69/96        20060101AFI20070124BHCN         ,1
