'ID,Serial No,Location,Mfg.,Type,Model,Reading Date,Reading Time,Reading Timezone,Hour Meter,Operator Logon,Equipment Idle,Equipment Meter Usage,Equipment Travel,Equipment Hydraulic
165 F,9A205122,Celina,Crown Equipment Corporation,SC,SC5225-35,07/31/20,10:29:44 PM,EDT,27045.6,324.5,54.5,270.0,194.6,52.1
176 F,9A217212,Celina,Crown Equipment Corporation,SC,SC5225-35,07/31/20,10:37:47 PM,EDT,20816.2,338.5,72.4,266.1,202.5,54.2
177 F,9A217213,Celina,Crown Equipment Corporation,SC,SC5225-35,07/31/20,02:34:58 PM,EDT,16436.5,309.9,98.8,211.1,133.8,50.8
178 F,9A217214,Celina,Crown Equipment Corporation,SC,SC5225-35,07/31/20,02:29:28 PM,EDT,14218.3,310.8,131.1,179.7,136.7,32.4
180 F,9A193372,Celina,Crown Equipment Corporation,SC,SC5225-35,07/31/20,09:27:27 PM,EDT,24023.9,378.0,113.8,264.2,188.9,66.3
185 M,9A193281,Celina,Crown Equipment Corporation,SC,SC5225-35,07/31/20,10:18:41 PM,EDT,11430.4,116.4,30.7,85.6,61.1,14.6
629 M,GS3007A-,Celina,Genie Lift,Scissor Lift,GS-1930,07/31/20,11:59:59 PM,EDT,1425.1,366.2,366.2,0.0,0.0,0.0
636 M,GRP-48177,Celina,Genie Lift,Scissor Lift,GR-20,07/29/20,12:05:56 PM,EDT,250.6,13.8,10.4,3.4,3.4,0.0
683 M,GS3216P-,Celina,Genie Lift,Scissor Lift,GS-2032,07/31/20,11:59:59 PM,EDT,318.5,337.5,337.5,0.0,0.0,0.0
685 M,GS4616P-,Celina,Genie Lift,Scissor Lift,GS-2646,07/31/20,02:43:18 AM,EDT,422.3,195.6,194.0,1.5,1.5,0.0
714 M,39506,Celina,Genie Lift,Scissor Lift,GS-2032,07/27/20,02:59:25 PM,EDT,1748.6,163.6,160.6,3.0,3.0,0.0
305 I,10042925,Celina,Crown Equipment Corporation,SHR/SH,SH5540-40,07/31/20,08:34:03 PM,EDT,1015.2,311.3,260.6,50.7,29.1,3.9
318 I,6A294691,Celina,Crown Equipment Corporation,SHR/SH,SH5540-40,07/30/20,02:25:37 PM,EDT,19082.9,19.0,15.1,3.8,1.8,0.3
321 I,10060820,Celina,Crown Equipment Corporation,SHR/SH,SHR5540-35,07/31/20,12:41:39 PM,EDT,1450.0,184.0,147.4,36.6,20.4,4.1
327 I,10145974,Celina,Crown Equipment Corporation,SHR/SH,SH5540-40,07/31/20,08:23:30 PM,EDT,442.3,265.8,238.6,27.2,13.4,0.9
342 I,10163758,Celina,Crown Equipment Corporation,SHR/SH,SH5540-40,07/31/20,10:09:31 PM,EDT,233.1,296.1,265.0,31.1,15.8,1.1
365 I,6A325225,Celina,Crown Equipment Corporation,SHR/SH,SHR5540-35,07/31/20,02:38:21 PM,EDT,4413.0,42.8,28.3,14.5,9.4,0.3
366 I,6A325226,Celina,Crown Equipment Corporation,SHR/SH,SH5540-40,07/31/20,10:18:53 PM,EDT,5121.8,383.3,286.6,96.7,46.3,9.0
207 F,1A478883,Celina,Crown Equipment Corporation,SP,SP3520-30,07/31/20,07:34:21 PM,EDT,1142.3,23.3,16.8,6.5,0.8,0.4
211 M,1A507735,Celina,Crown Equipment Corporation,SP,SP3520-30,07/31/20,01:40:41 PM,EDT,1848.9,84.4,47.6,36.9,8.9,1.8
230 F,1A491512,Celina,Crown Equipment Corporation,SP,SP3520-30,07/31/20,01:29:28 PM,EDT,1150.1,24.9,13.1,11.8,3.1,1.2
311 I,5A509262,Celina,Crown Equipment Corporation,SX,SX3000-30,07/31/20,10:34:34 PM,EDT,3838.9,165.6,145.1,20.4,17.0,4.0
353 I,5A501250,Celina,Crown Equipment Corporation,SX,SX3000-30,07/31/20,01:21:22 PM,EDT,2509.2,48.9,41.8,7.1,6.3,1.6
356 I,5A502916,Celina,Crown Equipment Corporation,SX,SX3000-30,07/29/20,11:11:29 AM,EDT,414.1,18.2,17.1,1.1,0.8,0.3
425 F,6A263657,Celina,Crown Equipment Corporation,TR,TR3600-200 (Non Can),07/31/20,10:25:56 PM,EDT,13816.0,237.7,172.1,65.6,58.0,0.0
409 F,10060815,Celina,Crown Equipment Corporation,TR 4500,TR4500-250,07/31/20,10:35:48 PM,EDT,3072.1,317.9,238.5,79.4,87.0,0.0
420 F,10180138,Celina,Crown Equipment Corporation,TR 4500,TR4500-250,07/31/20,09:36:17 PM,EDT,686.3,379.5,272.1,107.5,117.4,0.0
421 F,10178379,Celina,Crown Equipment Corporation,TR 4500,TR4500-250,07/31/20,10:58:32 PM,EDT,415.2,267.2,213.6,53.6,57.9,0.0
472 F,6A323532,Celina,Crown Equipment Corporation,TR 4500,TR4500-250,07/31/20,06:56:10 PM,EDT,2013.9,85.3,66.3,18.9,20.8,0.0
473 F,6A305585,Celina,Crown Equipment Corporation,TR 4500,TR4500-250,07/31/20,11:59:59 PM,EDT,4817.7,221.5,173.0,48.5,54.6,0.0
474 F,6A305586,Celina,Crown Equipment Corporation,TR 4500,TR4500-250,07/31/20,03:43:26 PM,EDT,3680.1,109.0,74.7,34.3,37.1,0.0
213 F,1A509056,Celina,Crown Equipment Corporation,TSP,TSP7000-33,07/31/20,02:31:37 PM,EDT,6762.7,199.1,20.5,178.7,72.6,86.3
236 F,1A378544,Celina,Crown Equipment Corporation,TSP,TSP7000-33,07/31/20,10:35:47 PM,EDT,18867.1,269.2,80.3,188.9,71.5,78.5
505 F,9A165233,Celina,Crown Equipment Corporation,WAVE,WAV50-118,07/27/20,09:50:46 AM,EDT,506.0,1.8,0.9,0.9,0.7,0.1
511 M,9A135580,Celina,Crown Equipment Corporation,WAVE,WAV50-118,07/31/20,02:21:44 PM,EDT,1556.0,19.5,14.1,5.4,3.1,0.7
516 M,9A208491,Celina,Crown Equipment Corporation,WAVE,WAV50-118,07/29/20,01:28:39 PM,EDT,772.5,46.1,28.8,17.3,7.2,1.5
528 F,10064196,Celina,Crown Equipment Corporation,WAVE,WAV60-118,07/31/20,07:17:10 PM,EDT,562.3,53.5,37.9,15.5,8.9,2.2
907 F,10102761,Celina,Crown Equipment Corporation,WP,WP3030-45,07/31/20,10:10:20 PM,EDT,129.0,26.6,22.1,4.5,4.5,0.4
927 O,5A369615,Celina,Crown Equipment Corporation,WP,WP2340-45,07/31/20,10:00:58 PM,EDT,3012.8,57.0,41.4,15.6,15.6,1.3
171 O,9A209445,Ft. Loramie,Crown Equipment Corporation,FC,FC4515-50,07/16/20,10:01:42 AM,EDT,79.3,0.1,0.1,0.0,0.0,0.0
811 O,6A247105,Ft. Loramie,Crown Equipment Corporation,PE,PE4500-80,07/16/20,09:58:43 AM,EDT,37.7,0.1,0.1,0.0,0.0,0.0
837 O,6A327199,Ft. Loramie,Crown Equipment Corporation,PE,PE4500-80,07/16/20,10:00:09 AM,EDT,13.3,0.0,0.0,0.0,0.0,0.0
124 O,1A430376,Ft. Loramie,Crown Equipment Corporation,RC5500,RC5525-30,07/17/20,12:38:01 PM,EDT,468.2,0.1,0.1,0.0,0.0,0.0
027 O,1A426729,Ft. Loramie,Crown Equipment Corporation,RM6000,RM6025-45,07/16/20,10:00:12 AM,EDT,367.0,0.0,0.0,0.0,0.0,0.0
054 O,1A450043,Ft. Loramie,Crown Equipment Corporation,RR,RR5725-45,07/02/20,11:22:57 AM,EDT,384.0,0.1,0.0,0.0,0.0,0.0
114 O,9A193022,Ft. Loramie,Crown Equipment Corporation,SC,SC5215-30,07/16/20,10:01:50 AM,EDT,54.2,0.1,0.1,0.0,0.0,0.0
367 O,6A325550,Ft. Loramie,Crown Equipment Corporation,SHR/SH,SHR5540-35,07/02/20,01:02:11 PM,EDT,477.6,0.1,0.0,0.1,0.0,0.0
205 O,1A437323,Ft. Loramie,Crown Equipment Corporation,SP,SP3520-30,07/16/20,10:00:18 AM,EDT,183.4,0.3,0.2,0.1,0.0,0.0
411 O,6A295998,Ft. Loramie,Crown Equipment Corporation,TR,TR3600-200,07/01/20,12:42:51 PM,EDT,120.5,0.0,0.0,0.0,0.0,0.0
539 O,9A219808,Ft. Loramie,Crown Equipment Corporation,WAVE,WAV50-118,07/17/20,12:34:37 PM,EDT,149.4,0.6,0.4,0.2,0.0,0.0
Buggy001,3070608,Greencastle,Cushman,Carrier,TitanXD,07/31/20,02:40:28 PM,EDT,296.2,126.1,5.8,120.3,120.3,0.0
Buggy002,3098278,Greencastle,Cushman,Carrier,TitanXD,07/31/20,01:45:05 PM,EDT,437.2,222.0,6.5,215.5,215.5,0.0
Buggy003,3389355,Greencastle,Cushman,Carrier,Minute Miser,07/31/20,07:25:09 AM,EDT,57.7,43.2,0.2,43.0,43.0,0.0
Buggy004,5185378,Greencastle,EZ-GO,Carrier,628520G01,07/27/20,08:13:59 AM,EDT,32.3,3.3,0.8,2.5,2.5,0.0
Buggy005,3161558,Greencastle,Cushman,Carrier,TitanXD,07/31/20,09:43:42 PM,EDT,415.7,192.1,8.8,183.3,183.3,0.0
014,9A225843,Greencastle,Crown Equipment Corporation,FC,FC5245-65,07/31/20,04:37:28 PM,EDT,681.2,9.4,6.5,3.0,1.5,0.2
109,10017462,Greencastle,Crown Equipment Corporation,PR,PR4500-80,07/31/20,08:26:56 PM,EDT,774.3,12.8,7.4,5.4,5.7,0.2
110,10017489,Greencastle,Crown Equipment Corporation,PR,PR4500-80,07/31/20,02:10:41 PM,EDT,884.7,34.8,23.0,11.8,12.9,1.7
117,10073398,Greencastle,Crown Equipment Corporation,PR,PR4500-80,07/31/20,07:16:22 PM,EDT,434.0,96.0,84.3,11.7,13.0,1.3
113,10058591,Greencastle,Crown Equipment Corporation,PW,PW3520-80,07/31/20,06:03:39 PM,EDT,134.1,17.7,14.2,3.4,3.4,0.1
002,1A357693,Greencastle,Crown Equipment Corporation,RC5500,RC5545-40,07/29/20,09:20:59 AM,EDT,4078.4,11.9,8.3,3.6,1.9,0.4
